texto,label
"¿Para qué serviría una función helper?","funciones"
"¿Cómo separar lógica en funciones pequeñas?","funciones"
"¿Qué significa que una función tenga efectos secundarios?","funciones"
"¿Cómo retorno una lista generada dentro de la función?","funciones"
"¿Qué es una función inline?","funciones"
"¿Cómo paso funciones como parámetros?","funciones"

"¿Cuál es la diferencia entre lista y tupla?","estructuras_de_datos"
"¿Cómo agrego un elemento a una lista?","estructuras_de_datos"
"¿Cómo recorro una lista de strings?","estructuras_de_datos"
"¿Qué es un diccionario en Python?","estructuras_de_datos"
"¿Cómo accedo a un valor por clave?","estructuras_de_datos"
"¿Cómo verifico si una clave existe en un diccionario?","estructuras_de_datos"
"¿Para qué sirven los conjuntos?","estructuras_de_datos"
"¿Cómo elimino un elemento de una lista?","estructuras_de_datos"
"¿Cómo ordeno una lista de números?","estructuras_de_datos"
"¿Por qué no puedo modificar una tupla?","estructuras_de_datos"
"¿Cómo copio una lista sin modificar la original?","estructuras_de_datos"
"¿Qué diferencia hay entre append y extend?","estructuras_de_datos"
"¿Cómo unir dos listas?","estructuras_de_datos"
"¿Qué diferencia hay entre lista y conjunto?","estructuras_de_datos"
"¿Cómo elimino duplicados usando set?","estructuras_de_datos"
"¿Cómo convertir una lista en tupla?","estructuras_de_datos"
"¿Cómo obtengo solo las claves de un diccionario?","estructuras_de_datos"
"¿Cómo obtengo solo los valores de un diccionario?","estructuras_de_datos"
"¿Qué es un diccionario anidado?","estructuras_de_datos"
"¿Cómo recorro un diccionario con items()?","estructuras_de_datos"
"¿Qué hace pop en las listas?","estructuras_de_datos"
"¿Qué hace remove en las listas?","estructuras_de_datos"
"¿Cómo buscar un elemento en una lista?","estructuras_de_datos"
"¿Cómo invertir una lista?","estructuras_de_datos"
"¿Cómo cortar listas con slicing?","estructuras_de_datos"
"¿Cómo crear una lista por comprensión?","estructuras_de_datos"
"¿Qué es zip y para qué sirve?","estructuras_de_datos"
"¿Cómo combinar claves y valores en un diccionario?","estructuras_de_datos"
"¿Qué es un set inmutable?","estructuras_de_datos"
"¿Qué significa que dict preserve el orden?","estructuras_de_datos"

"Me aparece NameError name no definido","errores_y_debugging"
"¿Qué significa IndentationError expected an indented block?","errores_y_debugging"
"¿Por qué tengo SyntaxError?","errores_y_debugging"
"No entiendo IndexError list index out of range","errores_y_debugging"
"¿Qué significa KeyError en un diccionario?","errores_y_debugging"
"TypeError unsupported operand type","errores_y_debugging"
"¿Cómo uso print para depurar?","errores_y_debugging"
"¿Qué es un stack trace?","errores_y_debugging"
"¿Cómo manejo errores con try except?","errores_y_debugging"
"¿Qué significa ValueError?","errores_y_debugging"
"¿Por qué mi variable no está definida?","errores_y_debugging"
"¿Cómo detectar dónde se produce el error?","errores_y_debugging"
"¿Cómo capturar múltiples excepciones?","errores_y_debugging"
"¿Qué significa ZeroDivisionError?","errores_y_debugging"
"¿Cómo saber el tipo exacto del error?","errores_y_debugging"
"¿Qué significa AssertionError?","errores_y_debugging"
"¿Qué es un bug lógico?","errores_y_debugging"
"¿Cómo depurar con breakpoints?","errores_y_debugging"
"¿Qué significa OverflowError?","errores_y_debugging"
"¿Qué pasa si olvido cerrar comillas?","errores_y_debugging"
"¿Por qué dice unexpected EOF?","errores_y_debugging"
"¿Cómo evitar errores comunes con listas?","errores_y_debugging"
"¿Por qué aparece RecursionError?","errores_y_debugging"
"¿Cómo identificar errores de sangrado?","errores_y_debugging"
"¿Qué es un off-by-one error?","errores_y_debugging"
"¿Cómo depurar un ciclo infinito?","errores_y_debugging"
"¿Qué hacer si el código corre pero da resultados incorrectos?","errores_y_debugging"
"¿Cómo inspeccionar variables durante la ejecución?","errores_y_debugging"
"¿Por qué mi función devuelve None?","errores_y_debugging"
"¿Cómo depurar errores intermitentes?","errores_y_debugging"

"¿Qué es una clase en Python?","poo"
"No entiendo qué es self","poo"
"¿Cómo creo un objeto desde una clase?","poo"
"¿Para qué sirve __init__?","poo"
"¿Qué es un atributo de instancia?","poo"
"¿Cómo defino un método?","poo"
"Atributo de clase vs atributo de instancia","poo"
"¿Qué es herencia?","poo"
"¿Cómo sobreescribo un método?","poo"
"¿Qué significa super?","poo"
"¿Qué es polimorfismo?","poo"
"¿Qué es encapsulamiento en Python?","poo"
"¿Existen los privados en Python?","poo"
"¿Cómo creo una clase hija?","poo"
"¿Qué es composición?","poo"
"¿Cómo represento objetos como texto?","poo"
"¿Qué hace __str__?","poo"
"¿Qué hace __repr__?","poo"
"¿Qué es un método estático?","poo"
"¿Qué es un método de clase?","poo"
"¿Cómo hago un contador de objetos creados?","poo"
"¿Cómo inicializar listas dentro de clases sin errores?","poo"
"¿Qué es un atributo calculado?","poo"
"¿Qué es una propiedad con @property?","poo"
"¿Para qué sirve __eq__?","poo"
"¿Qué es sobrecarga de operadores?","poo"
"¿Cómo clonar objetos?","poo"
"¿Qué es un patrón de diseño simple?","poo"
"¿Cómo validar atributos dentro de __init__?","poo"

"¿Cómo abro un archivo de texto?","io_archivos"
"¿Cómo leo todas las líneas?","io_archivos"
"¿Cómo escribo texto en un archivo?","io_archivos"
"¿Qué modo uso para solo lectura?","io_archivos"
"¿Qué pasa si abro un archivo que no existe?","io_archivos"
"¿Cómo usar with open?","io_archivos"
"¿Cómo agregar contenido al final?","io_archivos"
"¿Cómo leer linea por linea?","io_archivos"
"¿Cómo trabajar con rutas?","io_archivos"
"¿Cómo cierro archivos correctamente?","io_archivos"
"¿Qué es readlines?","io_archivos"
"¿Cómo leer un archivo binario?","io_archivos"
"¿Cómo escribir un archivo CSV simple?","io_archivos"
"¿Cómo verificar permisos de archivo?","io_archivos"
"¿Qué significa IOError?","io_archivos"
"¿Cómo evitar errores de codificación UTF-8?","io_archivos"
"¿Cómo detectar si un archivo está vacío?","io_archivos"
"¿Cómo copiar un archivo?","io_archivos"
"¿Cómo mover archivos entre carpetas?","io_archivos"
"¿Cómo borrar archivos desde Python?","io_archivos"
"¿Cómo listar archivos de un directorio?","io_archivos"
"¿Cómo escribir múltiples líneas?","io_archivos"
"¿Cómo leer archivos extremadamente grandes?","io_archivos"
"¿Cómo verificar si un archivo existe antes de abrirlo?","io_archivos"
"¿Cómo usar try except con archivos?","io_archivos"
"¿Qué es seek y para qué sirve?","io_archivos"
"¿Cómo obtener el tamaño de un archivo?","io_archivos"
"¿Cómo crear carpetas desde Python?","io_archivos"
"¿Cómo abrir archivos JSON?","io_archivos"
"¿Cómo guardar datos como JSON?","io_archivos"
